pipeline,precision_at_10,recall_at_10,mrr_at_10,ndcg_at_10,avg_hits_at_10,avg_latency_seconds,median_latency_seconds,min_latency_seconds,max_latency_seconds,queries_per_second
Naive Dense RAG,0.10500000000000001,0.4934523809523809,0.48875,0.4246768134618266,1.05,0.07825995000021066,0.03874769999856653,0.031911599999148166,0.34692419999919366,12.777927918396424
Optimized Hybrid RAG,0.11000000000000001,0.5755952380952382,0.595,0.5079846883728598,1.1,73.87960648000008,53.30729914999938,26.6203534999986,216.74697670000023,0.01353553500952539
